participant_id,group,pre_self_efficacy_mean,pre_metacognition_mean,pre_srl_monitoring_mean,pre_srl_evaluation_mean,pre_srl_goal_setting_mean,pre_srl_planning_mean,pre_hots_creativity_mean,pre_hots_critical_mean,pre_hots_problem_solving_mean,pre_srl_strategy_mean,post_self_efficacy_mean,post_metacognition_mean,post_agentic_mean,post_srl_monitoring_mean,post_srl_evaluation_mean,post_srl_goal_setting_mean,post_srl_planning_mean,post_hots_creativity_mean,post_hots_critical_mean,post_hots_problem_solving_mean,post_srl_strategy_mean,post_task_reflection_mean,post_task_thinking_mean,post_cognitive_load_extraneous_mean,post_cognitive_load_germane_mean,post_cognitive_load_intrinsic_mean,perf_stage3_score_gain,perf_stage3_score_good,sec_maintask_total_adj,paste_action_count_total,paste_to_task_box_count,pasted_length_total,task_auto_save_count
CG01,CG,4,3.3333333333333335,3.3333333333333335,4.333333333333333,3.6666666666666665,4,3.6666666666666665,3.6666666666666665,4.333333333333333,4.333333333333333,3.6666666666666665,3.3333333333333335,3,3,3.3333333333333335,3,3,2.6666666666666665,2.3333333333333335,3.3333333333333335,3,2.6666666666666665,4,3.6666666666666665,3.3333333333333335,4.333333333333333,5,7,519,12,7,2197,15
CG02,CG,3,4,4,3.3333333333333335,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.3333333333333335,4,4.333333333333333,3.3333333333333335,4.333333333333333,4.333333333333333,3,4,3.3333333333333335,4.333333333333333,2,2,3.6666666666666665,2.3333333333333335,3,5,4.333333333333333,3,4.666666666666667,6,7,472,40,11,5617,14
CG03,CG,3,2.6666666666666665,2.6666666666666665,2.6666666666666665,3,2.6666666666666665,2,2.6666666666666665,3,3.3333333333333335,4,4.666666666666667,4.666666666666667,4,4,3.6666666666666665,3.6666666666666665,3,3,4,4,3.6666666666666665,3,4,4.666666666666667,4,6,7,1289,50,21,6759,50
CG04,CG,4.333333333333333,3.3333333333333335,4.333333333333333,3.6666666666666665,3.6666666666666665,3,3.3333333333333335,3,3.3333333333333335,4,2.6666666666666665,3,2.6666666666666665,2.6666666666666665,2,1.6666666666666667,2.6666666666666665,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,4.333333333333333,3.3333333333333335,3,4.666666666666667,6,4,1102,23,9,3553,31
CG05,CG,4.666666666666667,5,5,4.333333333333333,4.333333333333333,4.666666666666667,3.3333333333333335,2.6666666666666665,4.333333333333333,3.6666666666666665,4,4,4.333333333333333,3.6666666666666665,4.666666666666667,3.6666666666666665,4.333333333333333,4.666666666666667,2.3333333333333335,4.333333333333333,3,4,3.6666666666666665,1,4.666666666666667,4.333333333333333,7,6,672,37,12,6126,24
CG06,CG,2.3333333333333335,3.3333333333333335,3,3.3333333333333335,3,2.6666666666666665,2.3333333333333335,2.6666666666666665,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,3,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,3.6666666666666665,3,3,3.6666666666666665,6,5,1590,18,7,3115,42
CG07,CG,3.6666666666666665,3.3333333333333335,4,4.333333333333333,3.6666666666666665,4,3,3.3333333333333335,4.333333333333333,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.6666666666666665,3,3,3.3333333333333335,4.333333333333333,3,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.3333333333333335,1.3333333333333333,3.6666666666666665,1.6666666666666667,7,6,609,39,16,4312,36
CG08,CG,4,3.6666666666666665,4.333333333333333,4.666666666666667,3.6666666666666665,4.666666666666667,2.3333333333333335,2.3333333333333335,3.6666666666666665,4.666666666666667,4.333333333333333,4.333333333333333,5,3.3333333333333335,5,4.333333333333333,4.333333333333333,3.3333333333333335,4,5,3.3333333333333335,4.666666666666667,3.3333333333333335,4,4.333333333333333,4.666666666666667,8,7,966,69,13,7178,30
CG09,CG,3.6666666666666665,3.3333333333333335,2.6666666666666665,5,4.333333333333333,4,2.6666666666666665,3.6666666666666665,4.333333333333333,5,4,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.3333333333333335,4.333333333333333,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,2.6666666666666665,4.333333333333333,2,3,2.6666666666666665,5,5,222,41,11,10569,7
CG10,CG,4,4,4,3.6666666666666665,3.6666666666666665,4,4,4,3.6666666666666665,4,3.3333333333333335,3.6666666666666665,4,3.3333333333333335,3.6666666666666665,4,4,3.6666666666666665,4,4,3.6666666666666665,3.3333333333333335,1,1.3333333333333333,3.6666666666666665,2.6666666666666665,6,6,2159,34,16,10649,62
